Product Name,Product Description,Product Categories,Product Price,Product Price per person,Minimum Price Per Person,Product Sub-category,Vegan,Gluten Free,Halal,Kind
A&W Root Beer (12 Cans),,Snacks & Drinks,14,,14,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
A&W Root Beer (2L Bottle),,Snacks & Drinks,5.5,,5,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
Aburi Rice Tray,"Imitation crab and salmon with white rice, cucumber, pickled jalapenos and aburi sauce.",Hawaiian,300,15,,Hawaiian-Party-Tray,FALSE,FALSE,FALSE,Platter
Almond Granola Bar,,Snacks & Drinks,4,,4,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
Aloo Naan,Stuffed with potatoes & spices,Indian,80,4,,Breads-Platter,TRUE,FALSE,FALSE,Platter
Apple Crisp Granola Bar,,Snacks & Drinks,4,,4,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
Apple Juice (8 Pack),,Snacks & Drinks,8,,8,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
Apple Turnovers,,Baked Goods & Coffee,60,3,,Baked-Goods-Platter,FALSE,FALSE,FALSE,Platter
Assorted Cookies,,Specialty Desserts,115,5.75,,5oz Cookies,FALSE,FALSE,FALSE,Platter
Assorted Cookies,,Baked Goods & Coffee,60,3,,Baked-Goods-Platter,FALSE,FALSE,FALSE,Platter
Assorted Doughnuts,,Baked Goods & Coffee,60,3,,Baked-Goods-Platter,FALSE,FALSE,FALSE,Platter
Assorted Muffins,,Baked Goods & Coffee,60,3,,Baked-Goods-Platter,FALSE,FALSE,FALSE,Platter
Assorted Waffles,,Specialty Desserts,66,3.14,,Mini Waffles,FALSE,FALSE,FALSE,Platter
Avocado Sushi Combo,"Salmon Avocado Roll, Tuna Avocado Roll & Avocado Roll",Japanese,19.5,,,Individually-Packed-Sushi-Combos,FALSE,FALSE,FALSE,Individual
Bacon & Jalapeno Stuffed Cheesy Bread,,Pizza,10,,,Breads,FALSE,FALSE,FALSE,Individual
Bagel & Cream Cheese,,Baked Goods & Coffee,100,5,,Baked-Goods-Platter,FALSE,FALSE,FALSE,Platter
Baklava,,Mediterranean,120,6,,Dessert,FALSE,FALSE,FALSE,Platter
BBQ Chicken Wings,,Pizza,12,,,Chicken,FALSE,FALSE,FALSE,Individual
"BBQ Chicken with Rice, Salad & Spring Roll",,Thai,19,,,Individually-Packed-Combos,FALSE,FALSE,FALSE,Individual
BBQ Pork Fried Rice,Fried rice with BBQ pork,Chinese,160,8,,Rice-&-Noodles-Platter,FALSE,FALSE,FALSE,Individual
BBQ Potato Chips,,Snacks & Drinks,5,,5,Snacks & Drinks,FALSE,FALSE,FALSE,Individual
Beef & Broccoli,Beef stir-fried with minced garlic and broccoli,Chinese,200,10,,Main-Platter,FALSE,FALSE,FALSE,Individual
Beef & Broccoli with Chowmein,,Chinese,20,,,Individually-Packed-Chowmein-Combo,FALSE,FALSE,FALSE,Individual
Beef & Broccoli with Fried Rice,,Chinese,20,,,Individually-Packed-Rice-Combo,FALSE,FALSE,FALSE,Individual
Beef Bento Box,,Japanese,19,,,Individually-Packed-Bowls,FALSE,FALSE,FALSE,Individual
Beef Chowmein,Chowmein with beef,Chinese,160,8,,Rice-&-Noodles-Platter,FALSE,FALSE,FALSE,Individual
"Beef Green Curry with Rice, Salad & Spring Roll",,Thai,19,,,Individually-Packed-Combos,FALSE,FALSE,FALSE,Individual
"Beef Massaman Curry with Rice, Salad & Spring Roll",,Thai,19,,,Individually-Packed-Combos,FALSE,FALSE,FALSE,Individual
